# IEA 15 MW
TSR,   Pitch ,  C_Fx  ,   C_Fy   ,  C_Fz   ,  C_Mx   ,  C_My  ,   C_Mz
(-),   (deg) ,  (-)  ,   (-)   ,  (-)   ,  (-)   ,  (-)  ,   (-)
3.2500,	2.500000,	0.151809,	0.0000,	0.0000,	0.0468,	0.0000,	0.0000
3.2500,	2.750000,	0.153957,	0.0000,	0.0000,	0.0474,	0.0000,	0.0000
3.2500,	3.000000,	0.156045,	0.0000,	0.0000,	0.0481,	0.0000,	0.0000
3.2500,	3.250000,	0.158067,	0.0000,	0.0000,	0.0487,	0.0000,	0.0000
3.2500,	3.500000,	0.160021,	0.0000,	0.0000,	0.0493,	0.0000,	0.0000
3.2500,	3.750000,	0.161900,	0.0000,	0.0000,	0.0499,	0.0000,	0.0000
3.2500,	4.000000,	0.163702,	0.0000,	0.0000,	0.0504,	0.0000,	0.0000
3.2500,	4.250000,	0.165421,	0.0000,	0.0000,	0.0509,	0.0000,	0.0000
3.2500,	4.500000,	0.167053,	0.0000,	0.0000,	0.0515,	0.0000,	0.0000
3.2500,	4.750000,	0.168595,	0.0000,	0.0000,	0.0519,	0.0000,	0.0000
3.2500,	5.000000,	0.170044,	0.0000,	0.0000,	0.0524,	0.0000,	0.0000
3.2500,	5.250000,	0.171395,	0.0000,	0.0000,	0.0528,	0.0000,	0.0000
3.2500,	5.500000,	0.172648,	0.0000,	0.0000,	0.0532,	0.0000,	0.0000
3.2500,	5.750000,	0.173799,	0.0000,	0.0000,	0.0535,	0.0000,	0.0000
3.2500,	6.000000,	0.174848,	0.0000,	0.0000,	0.0539,	0.0000,	0.0000
3.2500,	6.250000,	0.175792,	0.0000,	0.0000,	0.0541,	0.0000,	0.0000
3.2500,	6.500000,	0.176631,	0.0000,	0.0000,	0.0544,	0.0000,	0.0000
3.2500,	6.750000,	0.177364,	0.0000,	0.0000,	0.0546,	0.0000,	0.0000
3.2500,	7.000000,	0.177990,	0.0000,	0.0000,	0.0548,	0.0000,	0.0000
3.2500,	7.250000,	0.178511,	0.0000,	0.0000,	0.0550,	0.0000,	0.0000
3.2500,	7.500000,	0.178925,	0.0000,	0.0000,	0.0551,	0.0000,	0.0000
3.2500,	7.750000,	0.179233,	0.0000,	0.0000,	0.0552,	0.0000,	0.0000
3.2500,	8.000000,	0.179437,	0.0000,	0.0000,	0.0553,	0.0000,	0.0000
3.2500,	8.250000,	0.179536,	0.0000,	0.0000,	0.0553,	0.0000,	0.0000
3.2500,	8.500000,	0.179532,	0.0000,	0.0000,	0.0553,	0.0000,	0.0000
3.2500,	8.750000,	0.179427,	0.0000,	0.0000,	0.0553,	0.0000,	0.0000
3.2500,	9.000000,	0.179222,	0.0000,	0.0000,	0.0552,	0.0000,	0.0000
3.2500,	9.250000,	0.178919,	0.0000,	0.0000,	0.0551,	0.0000,	0.0000
3.2500,	9.500000,	0.178520,	0.0000,	0.0000,	0.0550,	0.0000,	0.0000
3.2500,	9.750000,	0.178028,	0.0000,	0.0000,	0.0548,	0.0000,	0.0000
3.2500,	10.000000,	0.177444,	0.0000,	0.0000,	0.0546,	0.0000,	0.0000
3.2500,	10.250000,	0.176771,	0.0000,	0.0000,	0.0544,	0.0000,	0.0000
3.2500,	10.500000,	0.176013,	0.0000,	0.0000,	0.0542,	0.0000,	0.0000
3.2500,	10.750000,	0.175171,	0.0000,	0.0000,	0.0539,	0.0000,	0.0000
3.2500,	11.000000,	0.174248,	0.0000,	0.0000,	0.0537,	0.0000,	0.0000
3.2500,	11.250000,	0.173248,	0.0000,	0.0000,	0.0534,	0.0000,	0.0000
3.2500,	11.500000,	0.172172,	0.0000,	0.0000,	0.0530,	0.0000,	0.0000
3.2500,	11.750000,	0.171023,	0.0000,	0.0000,	0.0527,	0.0000,	0.0000
3.2500,	12.000000,	0.169805,	0.0000,	0.0000,	0.0523,	0.0000,	0.0000
3.2500,	12.250000,	0.168520,	0.0000,	0.0000,	0.0519,	0.0000,	0.0000
3.2500,	12.500000,	0.167169,	0.0000,	0.0000,	0.0515,	0.0000,	0.0000
3.2500,	12.750000,	0.165757,	0.0000,	0.0000,	0.0511,	0.0000,	0.0000
3.2500,	13.000000,	0.164284,	0.0000,	0.0000,	0.0506,	0.0000,	0.0000
3.2500,	13.250000,	0.162754,	0.0000,	0.0000,	0.0501,	0.0000,	0.0000
3.2500,	13.500000,	0.161168,	0.0000,	0.0000,	0.0496,	0.0000,	0.0000
3.2500,	13.750000,	0.159529,	0.0000,	0.0000,	0.0491,	0.0000,	0.0000
3.2500,	14.000000,	0.157839,	0.0000,	0.0000,	0.0486,	0.0000,	0.0000
3.2500,	14.250000,	0.156099,	0.0000,	0.0000,	0.0481,	0.0000,	0.0000
3.2500,	14.500000,	0.154312,	0.0000,	0.0000,	0.0475,	0.0000,	0.0000
3.2500,	14.750000,	0.152478,	0.0000,	0.0000,	0.0470,	0.0000,	0.0000
3.2500,	15.000000,	0.150600,	0.0000,	0.0000,	0.0464,	0.0000,	0.0000
3.2500,	15.250000,	0.148679,	0.0000,	0.0000,	0.0458,	0.0000,	0.0000
3.2500,	15.500000,	0.146716,	0.0000,	0.0000,	0.0452,	0.0000,	0.0000
3.2500,	15.750000,	0.144712,	0.0000,	0.0000,	0.0446,	0.0000,	0.0000
3.2500,	16.000000,	0.142668,	0.0000,	0.0000,	0.0439,	0.0000,	0.0000
3.2500,	16.250000,	0.140586,	0.0000,	0.0000,	0.0433,	0.0000,	0.0000
3.2500,	16.500000,	0.138465,	0.0000,	0.0000,	0.0426,	0.0000,	0.0000
3.2500,	16.750000,	0.136306,	0.0000,	0.0000,	0.0420,	0.0000,	0.0000
